"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 17 16:41:26 IST 2023","Fri Mar 17 16:41:26 IST 2023","250","","example to-do app with a checked task","","example to-do app with a checked task","can filter for completed tasks","can filter for completed tasks",""
"passed","Fri Mar 17 16:41:26 IST 2023","Fri Mar 17 16:41:26 IST 2023","274","","example to-do app with a checked task","","example to-do app with a checked task","can delete all completed tasks","can delete all completed tasks",""
"passed","Fri Mar 17 16:29:17 IST 2023","Fri Mar 17 16:29:18 IST 2023","952","","example to-do app","","","","displays two todo items by default",""
"passed","Fri Mar 17 16:29:19 IST 2023","Fri Mar 17 16:29:19 IST 2023","248","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Fri Mar 17 16:29:18 IST 2023","Fri Mar 17 16:29:19 IST 2023","253","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Fri Mar 17 16:29:18 IST 2023","Fri Mar 17 16:29:18 IST 2023","376","","example to-do app","","","","can add new todo items",""
"passed","Fri Mar 17 16:41:23 IST 2023","Fri Mar 17 16:41:25 IST 2023","1604","","example to-do app","","example to-do app","displays two todo items by default","displays two todo items by default",""
"passed","Fri Mar 17 16:41:25 IST 2023","Fri Mar 17 16:41:26 IST 2023","271","","example to-do app with a checked task","","example to-do app with a checked task","can filter for uncompleted tasks","can filter for uncompleted tasks",""
"passed","Fri Mar 17 16:29:19 IST 2023","Fri Mar 17 16:29:19 IST 2023","277","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Fri Mar 17 16:41:25 IST 2023","Fri Mar 17 16:41:25 IST 2023","389","","example to-do app","","example to-do app","can add new todo items","can add new todo items",""
"passed","Fri Mar 17 16:41:25 IST 2023","Fri Mar 17 16:41:25 IST 2023","183","","example to-do app","","example to-do app","can check off an item as completed","can check off an item as completed",""
"passed","Fri Mar 17 16:29:18 IST 2023","Fri Mar 17 16:29:18 IST 2023","166","","example to-do app","","","","can check off an item as completed",""
